Item Name,Item ID,Display Name,Case UPC Code,Pallet Qty,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Maximum of Committed,Sum of On Hold,Sum of Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average
(A) Additional Cases Over 1200 Cases,7286,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Additional SKU's over 5 SKUs,7289,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Admin Fee,7281,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Dry Offload Floor-Loaded Container Upto 1200 cases & 5 SKU's,7287,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Initial Storage,7283,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Initial Storage OS,7285,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) OVERSIZED 2x,7294,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) PALLET,7295,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Pallet IN Receiving,7271,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Pallet Out,7280,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Pallet Pick,7278,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Pallet Pick and Out,7292,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Pallet Put Away,7276,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Pallet Put Away - Floor Loaded,7279,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Pallet Rework,7284,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Rush Fee (Same Day),7288,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
(A) Shrink Wrap,7282,- None -,- None -,,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
