Item Name,Item ID,Display Name,Product Status,Core Item Category,Units,Size,Case UPC Code,Pallet Qty,LCL Listed,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Available to Promise,Maximum of Committed,Sum of On Hold,Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),Inspection,Label,Deviation,On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average,Maximum of Shelf Life in Days
BACI104151587-CA,7385,Baci Perugina Large Shopping Bags 200Pcs,Active-Marketing,43. Display,200,14000 g,- None -,,No,Baci_Displayer,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
BACI104331486-CA,7014,Baci Perugina Quick Display 1x,Active-Displayer,43. Display,1,1200 g,- None -,100,No,Baci_Displayer,- None -,- None -,- None -,- None -,1,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
BACI104936513-CA,7025,Baci Perugina Displayer Header with Base (part 1 of 2),Active-Displayer,43. Display,1,1200 g,- None -,100,No,Baci_Displayer,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
BACI104936519-CA,7023,Baci Perugina Displayer Buckets (part 2 of 2),Active-Displayer,43. Display,1,1200 g,- None -,100,No,Baci_Displayer,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
BACI105510170-CA,7384,Baci 3 Cylinder Countertop Displayer 1x,Active-Displayer,43. Display,1,1800 g,- None -,,No,Baci_Displayer,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
BACI12362632-CA,6986,Perugina Bar Dark 70% 12x86g,Label,34. Confectionary,12,1200 g,839456004627,100,No,Baci_Chocolate,- None -,- None -,- None -,- None -,,,,,,132,,132,- None -,132,9/29/2026,13,.43,0,,,,- None -,- None -,0,0,0,0,0,364
BACI12363320-CA,6985,Perugina Bar Dark 51% 12x86g,Label,34. Confectionary,12,1200 g,839456004603,100,No,Baci_Chocolate,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,364
BACI12405295-CA,6953,Baci Bag Original Dark 12x125g,Active,34. Confectionary,12,1800 g,839456005686,60,Yes,Baci_Chocolate,- None -,- None -,- None -,- None -,210,,,,,2201,,3901,- None -,900,8/26/2026,-21,-.7,0,,,,- None -,- None -,0,0,0,0,0,364
BACI12439386-CA,6956,Baci Bulk Original Dark 3x1Kg,Label,34. Confectionary,3,3300 g,8000300388916,108,No,Baci_Chocolate,- None -,- None -,- None -,- None -,72,,,,,61,,61,- None -,60,9/22/2026,6,.2,0,,,,- None -,- None -,0,0,0,0,0,364
BACI12439528-CA,6983,Baci Tube 3Pcs Original Dark 14x37.5g,Active,34. Confectionary,14,730 g,839456005501,288,No,Baci_Chocolate,- None -,- None -,- None -,- None -,109,,,,,1249,,1249,- None -,445,8/26/2026,-21,-.7,0,,,,- None -,- None -,0,0,0,0,0,364
