Shipment Number,Vendor Reference,Container Number,Seal Number,Container Condition,Purchase Order,Item ID,Name,Description,Item Receipt,Receipt Date,Location,Bin Number,Lot Number,EXP DATE,Qty Expected,Qty Received,Memo,Last Free Date,Product Status
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3443,3562,GNOCCHIMASS-CA,La Molisana Peperini #64 12x450g, #,,Signet Complex,,L6083MIG,29/03/2029,1000,,,,Label
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3413,3694,FPIP256-CA,La Molisana Farfalle 'Bow Ties' #66 12x450g, #,,Signet Complex,,L6085MBP,29/03/2029,1020,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3448,3694,FPIP256-CA,La Molisana Farfalle 'Bow Ties' #66 12x450g, #,,Signet Complex,,L6109MBP,22/04/2029,1020,,,,
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3402,3481,COFGIO01-12PK-CA,La Molisana Farfalle 'Bow Ties' #66 12x450g, #,,Signet Complex,,L6119MBP,30/04/2029,134,,,,
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3402,3481,COFGIO01-12PK-CA,La Molisana Farfalle 'Bow Ties' #66 12x450g, #,,Signet Complex,,L6119MBP,30/04/2029,100,,,,
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP1,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP2,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP3,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP4,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP5,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP6,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP7,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP8,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP9,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3481,COFGIO01-12PK-CA,La Molisana Tripoline #68 12x450g, #,,Signet Complex,,L6101MBP10,13/04/2029,27,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3435,3480,COFGIO02-12PK-CA,La Molisana Rigatoni #31 12x450g, #,,Signet Complex,,L6051MCA,20/02/2029,234,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3377,3480,PAT031-DR-CA,La Molisana Rigatoni #31 12x450g, #,,Signet Complex,,L6071MCA,12/03/2029,252,,,,Active
INBSHIP2618,DD2607888,MSNU 9186200,102832+3714209,,PO3443,3562,GNOCCHIMASS-CA,La Molisana Peperini #64 12x450g, #,,Signet Complex,,L6083MIG12,29/03/2029,744,,,,Label
