Shipment Number,Column1,Container Number,Seal Number,Container Condition,Purchase Order,Item ID,Name,Description,Item Receipt,Receipt Date,Location,Bin Number,Lot Number,EXP DATE,Qty Expected,Qty Received,Memo,Last Free Date,Product Status
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3549,3533,PFLOUR05-CA,La Molisana Pizza Semola Flour Di Grano Duro #603 12x1Kg, #,,Signet Complex,,,,225,,,,Label
,DD2605878,,,,,3533,,,,,,,L60152,18/02/2027,19,,,,
,DD2605878,,,,,3533,,,,,,,L60205,06/03/2027,8,,,,
,DD2605878,,,,,3533,,,,,,,L60245,18/03/2027,198,,,,
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3543,3535,PFLOUR04A-CA,La Molisana Semola Flour Di Grano #601 12x1Kg, #,,Signet Complex,,,,585,,,,Label
,DD2605878,,,,,3535,,,,,,,L60245,18/03/2027,42,,,,
,DD2605878,,,,,3535,,,,,,,L60273,26/03/2027,543,,,,
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3713,3971,PAT058A-DR-CA,La Molisana Capellini Spezzati #58 12x450g, #,,Signet Complex,,,,132,,,,Active
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3536,3971,PAT058A-DR-CA,La Molisana Capellini Spezzati #58 12x450g, #,,Signet Complex,,,,64,,,,Active
,DD2605878,,,,,3971,,,,,,,L6033MID,03/02/2029,76,,,,
,DD2605878,,,,,3971,,,,,,,L6050MIE,20/02/2029,120,,,,
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3713,3978,PAT006-DR18-CA,La Molisana Linguine #6 18x450g, #,,Signet Complex,,,,560,,,,Active
,DD2605878,,,,,3978,,,,,,,L6083MHN,24/03/2030,560,,,,
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3549,3984,PAT018-DR-CA,La Molisana Penne Ziti Lisce #18 12x450g, #,,Signet Complex,,,,20,,,,Active
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3594,3984,PAT018-DR-CA,La Molisana Penne Ziti Lisce #18 12x450g, #,,Signet Complex,,,,1000,,,,Active
,DD2605878,,,,,3984,,,,,,,L6081MEI,23/03/2029,1020,,,,
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3536,3989,PAT031-DR-CA,La Molisana Rigatoni #31 12x450g, #,,Signet Complex,,,,34,,,,Active
INBSHIP2766,DD2605878,MSDU 6983663,109213+3414228,,PO3594,3989,PAT031-DR-CA,La Molisana Rigatoni #31 12x450g, #,,Signet Complex,,,,446,,,,Active
,DD2605878,,,,,3989,,,,,,,L6055MCA,24/02/2029,48,,,,
,DD2605878,,,,,3989,,,,,,,L6071MCA,12/03/2029,96,,,,
,DD2605878,,,,,3989,,,,,,,L6077MCA,18/03/2029,336,,,,
