Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Available to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Qty Sold (LCL),4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Committed Reserved,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,PFLOUR02-CA,3870,Vita Sana Enriched 00 Soft Wheat Flour 10x1Kg (Bag),Agugiaro & Figna_Flour,Active,1158,1158,1188,1077,1145.25,,,2152,2152,2152,2152,2152,2152,1.81,1302,671,4/18/2026,,- None -,2657,- None -,- None -,10650,g,0.0244725,2075,Admin Portal,Vita Sana,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Vita Sana Enriched 00 Soft Wheat Flour 10x1Kg (Bag),1DARID0148BOD,9.3,0.000025,0.000039,0.0000251,25,39,25.1,365,63,60,7,9,- None -,Pantry,Flour and Baking Aids,10,Retail,1.07799E+13,Yes,Yes,Yes,- None -,4581,11368,77,,,252,,
- None -,3.5,PFLOURFBA-CA,3444,Farm Boy Enriched Durum Wheat Semolina 10x1Kg (Bag),Agugiaro & Figna_PL Farm Boy,Active - PL,0,0,0,134,33.5,,,,,,,,,,123,123,5/20/2026,,- None -,123,- None -,- None -,10570,g,0.02039352,,Admin Portal,Farm Boy,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Farm Boy Enriched Durum Wheat Semolina 10x1Kg (Bag),1CA2400164BOD,11.3,0.000021,0.0000244,0.0000398,21,24.4,39.8,365,63,,7,9,- None -,Pantry,Flour and Baking Aids,10,Private Label - FB,- None -,Yes,Yes,No,- None -,134,666,,,297,252,,
- None -,3.5,PFLOURFB-CA,3439,Farm Boy 00 Soft Wheat Flour 10x1Kg (Bag),Agugiaro & Figna_PL Farm Boy,Active - PL,0,0,0,316,79,,,,,,,,,,159,159,5/20/2026,,- None -,159,- None -,- None -,10570,g,0.02039352,,Admin Portal,Farm Boy,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Farm Boy 00 Soft Wheat Flour 10x1Kg (Bag),1DARID0164BOD,9.3,0.000021,0.0000244,0.0000398,21,24.4,39.8,365,63,,7,9,- None -,Pantry,Flour and Baking Aids,10,Private Label - FB,- None -,Yes,Yes,No,- None -,316,657,,,99,252,,
- None -,3.5,FPRM149A-CA,5490,R.M. Capers 12x105ml,Alguazas_Marinades,Active,9,35,61,83,47,,,17,17,17,17,17,17,0.36,,,,,- None -,300,- None -,- None -,2560,g,0.00283185,17,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Capers 12x105ml,741,6.25,0.0000087,0.0000155,0.000021,8.7,15.5,21,1092,288,,9,32,- None -,Pantry,Pickles and Antipasto,12,Retail,1.07799E+13,Yes,Yes,No,- None -,188,525,,,,300,,
- None -,3.5,FPRM125-CA,3663,R.M. Fire Red Roasted Peppers 12x12oz,Alguazas_Marinades,Active,550,475,426,308,439.75,,,461,461,461,461,461,461,1.04,1071,1071,3/30/2026,,- None -,1836,- None -,- None -,6390,g,0.008378556,458,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Fire Red Roasted Peppers 12x12oz,N62I,11.5,0.0000124,0.0000303,0.0000223,12.4,30.3,22.3,1457,153,,9,17,- None -,Pantry,Pickles and Antipasto,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,1759,6657,3,,,153,,
- None -,3.5,FPRM126-CA,3664,R.M. Fire Red Roasted Peppers 6x3Kg,Alguazas_Marinades,Active,15,27,8,8,14.5,,,81,81,81,81,81,81,5.59,,,,,- None -,,- None -,- None -,17290,g,0.024244638,81,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Fire Red Roasted Peppers 6x3Kg,N635,32,0.0000159,0.0000478,0.0000319,15.9,47.8,31.9,1095,63,,9,7,- None -,Pantry,Pickles and Antipasto,6,Retail,1.07799E+13,Yes,Yes,Yes,- None -,58,331,,,,63,,
- None -,3.5,FPRM120-FB-CA,3440,Farm Boy Artichoke Hearts 12x340ml,Alguazas_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,,0,648,648,3/30/2026,,- None -,648,- None -,- None -,7528,g,0.008175,,Admin Portal,Farm Boy,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,Farm Boy Artichoke Hearts 12x340ml,7927,12.5,0.0000125,0.00003,0.0000218,12.5,30,21.8,1095,162,,9,18,- None -,Pantry,Pickles and Antipasto,12,Private Label,- None -,Yes,Yes,No,- None -,0,1458,,,648,153,,
- None -,3.5,FPRM120-CA,3646,R.M. Artichoke Hearts 12x6oz,Alguazas_Marinades,Active,157,168,150,167,160.5,54,54,54,54,54,54,54,54,0.34,714,714,3/30/2026,,- None -,952,- None -,- None -,4470,g,0.005051892,54,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Artichoke Hearts 12x6oz,794I,8,0.0000079,0.0000292,0.0000219,7.9,29.2,21.9,1092,238,,14,17,- None -,Pantry,Pickles and Antipasto,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,642,2066,,,,238,,
- None -,3.5,FPRM124-CA,3645,R.M. Artichoke Hearts 12x12oz,Alguazas_Marinades,Active,285,335,320,310,312.5,49,49,49,49,49,49,49,49,0.16,1071,1071,3/30/2026,,- None -,1683,- None -,- None -,6540,g,0.008378556,49,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Artichoke Hearts 12x12oz,7926,12.5,0.0000124,0.0000303,0.0000223,12.4,30.3,22.3,1092,153,,9,17,- None -,Pantry,Pickles and Antipasto,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,1250,3023,,,6,153,,
- None -,3.5,VLONGOFET02-CA,7109,Longos Curato Fettucine Egg Nest pasta 18x250g,Alguazas_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,548,500,5/6/2026,,- None -,548,- None -,- None -,5000,g,0.0109344,,Admin Portal,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Fettucine Egg Nest pasta 18x250g,LC094#2020218,12.51,0.0000204,0.000016,0.0000335,20.4,16,33.5,730,100,,5,20,- None -,Pantry,Gnocchi,18,Private Label - Longos,1.07725E+13,Yes,Yes,No,- None -,0,0,,,540,750,,
