Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,"Qty Ordered Last Year","Qty Ordered This Year",Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Available to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock,Filter
,257.00,PFLOURFB-CA,3439,Farm Boy 00 Soft Wheat Flour 10x1Kg (Bag),Agugiaro & Figna_PL Farm Boy,793,0,Active - PL,0,0,316,0,79.00,0,,0,0,0,0,0,0,0.00,,,,0.00,0.00,99,99.00,1.25,10570,g,.02039352,0,Farm Boy,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Farm Boy 00 Soft Wheat Flour 10x1Kg (Bag),1DARID0164BOD,9.30,.000021,.0000244,.0000398,21,24.4,39.8,365,63,,7,9,,Pantry,Flour and Baking Aids,10,Private Label - FB,,Yes,Yes,No,316,657,0,99,252,79.00,356,Red
,52.00,PFLOURFBA-CA,3444,Farm Boy Enriched Durum Wheat Semolina 10x1Kg (Bag),Agugiaro & Figna_PL Farm Boy,260,0,Active - PL,0,0,134,0,33.50,0,,0,0,0,0,0,0,0.00,,,,0.00,0.00,99,99.00,2.96,10570,g,.02039352,0,Farm Boy,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Farm Boy Enriched Durum Wheat Semolina 10x1Kg (Bag),1CA2400164BOD,11.30,.000021,.0000244,.0000398,21,24.4,39.8,365,63,,7,9,,Pantry,Flour and Baking Aids,10,Private Label - FB,,Yes,Yes,No,134,666,0,99,252,33.50,151,Red
,0,PFLOUR02-CA,3870,Vita Sana Enriched 00 Soft Wheat Flour 10x1Kg (Bag),Agugiaro & Figna_Flour,11799,2963,Active,1244,1231,1077,1501,1263.25,1132,,1150,0,0,0,0,1150,0.91,2693,632,3/15/2026,3843.00,3.04,1985,5828.00,4.61,10650,g,.0244725,1150,Vita Sana,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Vita Sana Enriched 00 Soft Wheat Flour 10x1Kg (Bag),1DARID0148BOD,9.30,.000025,.000039,.0000251,25,39,25.1,365,63,60,7,9,,Pantry,Flour and Baking Aids,10,Retail,10779921020011,Yes,Yes,Yes,5053,11368,18,,252,1263.25,5685,Black
,0,FPRM120-FB-CA,3440,Farm Boy Artichoke Hearts 12x340ml,Alguazas_PL Farm Boy,1591,648,Active - PL,0,0,0,0,No Movement,0,,0,0,0,0,0,0,,648,648,3/30/2026,648.00,,,648.00,,7528,g,.008175,0,Farm Boy,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,Farm Boy Artichoke Hearts 12x340ml,7927,12.50,.0000125,.00003,.0000218,12.5,30,21.8,1095,162,,9,18,,Pantry,Pickles and Antipasto,12,Private Label,,Yes,Yes,No,0,1458,0,648,153,No Movement,0,Black
,0,FPRM149A-CA,5490,R.M. Capers 12x105ml,Alguazas_Marinades,673,0,Active,33,63,83,74,63.25,26,,26,0,0,0,0,26,0.41,,,,26.00,0.41,300,326.00,5.15,2560,g,.00283185,26,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Capers 12x105ml,741,6.25,.0000087,.0000155,.000021,8.7,15.5,21,1092,288,,9,32,,Pantry,Pickles and Antipasto,12,Retail,10779921362913,Yes,Yes,Yes,253,525,0,,300,63.25,285,Black
,285.00,FPRM124-CA,3645,R.M. Artichoke Hearts 12x12oz,Alguazas_Marinades,3251,1071,Active,357,329,310,389,346.25,201,100,303,0,0,0,0,303,0.88,1071,459,3/30/2026,1374.00,3.97,,1374.00,3.97,6540,g,.008378556,303,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Artichoke Hearts 12x12oz,7926,12.50,.0000124,.0000303,.0000223,12.4,30.3,22.3,1092,153,,9,17,,Pantry,Pickles and Antipasto,12,Retail,10779921361107,Yes,Yes,Yes,1385,3023,102,,153,346.25,1559,Red
,0,FPRM120-CA,3646,R.M. Artichoke Hearts 12x6oz,Alguazas_Marinades,1954,714,Active,172,157,167,236,183.00,138,59,200,0,0,0,0,200,1.09,714,238,3/30/2026,914.00,4.99,,914.00,4.99,4470,g,.005051892,200,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Artichoke Hearts 12x6oz,794I,8.00,.0000079,.0000292,.0000219,7.9,29.2,21.9,1092,238,,14,17,,Pantry,Pickles and Antipasto,12,Retail,10779921361053,Yes,Yes,Yes,732,2066,62,,238,183.00,824,Black
,0,FPRM126-CA,3664,R.M. Fire Red Roasted Peppers 6x3Kg,Alguazas_Marinades,126,0,Active,23,13,8,19,15.75,95,,95,0,0,0,0,95,6.03,,,,95.00,6.03,,95.00,6.03,17290,g,.024244638,95,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Fire Red Roasted Peppers 6x3Kg,N635,32.00,.0000159,.0000478,.0000319,15.9,47.8,31.9,1095,63,,9,7,,Pantry,Pickles and Antipasto,6,Retail,10779921362203,Yes,Yes,Yes,63,331,0,,63,15.75,71,Black
,28.00,FPRM125-CA,3663,R.M. Fire Red Roasted Peppers 12x12oz,Alguazas_Marinades,4460,1071,Active,514,442,308,562,456.50,919,,956,0,0,0,0,956,2.09,1071,459,3/30/2026,2027.00,4.44,,2027.00,4.44,6390,g,.008378556,956,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Fire Red Roasted Peppers 12x12oz,N62I,11.50,.0000124,.0000303,.0000223,12.4,30.3,22.3,1457,153,,9,17,,Pantry,Pickles and Antipasto,12,Retail,10779921362104,Yes,Yes,Yes,1826,6657,37,,153,456.50,2055,Red
,760.00,VLONGOTAG01-CA,7107,Longos Curato Tagliatelle Egg Nest pasta 20x250g,Alguazas_PL Longos,1347,0,Active - PL,0,0,0,675,168.75,0,,0,0,0,0,0,0,0.00,,,,0.00,0.00,,0.00,0.00,5000,g,.0109344,0,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Tagliatelle Egg Nest pasta 20x250g,LC093#2020220,13.52,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,,Pantry,Gnocchi,20,Private Label - Longos,10772468047336,Yes,Yes,No,675,0,0,,330,168.75,760,Red
