Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Availble to Promise,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Maximum of Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,(A) Pallet Out,7280,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet Out,4.50,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Initial Storage OS,7285,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Initial Storage OS,2.55,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Additional Cases Over 1200 Cases,7286,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Additional Cases Over 1200 Cases,.20,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(T) Initial Storage Temp,7290,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Initial Storage Temp,21.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(T) Temp - Offload Floor-Loaded Container Upto 1200 cases & 5 SKU's,7291,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Temp - Offload Floor-Loaded Container Upto 1200 cases & 5 SKU's,575.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Pallet Put Away - Floor Loaded,7279,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet Put Away - Floor Loaded,1.50,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Pallet IN Receiving,7271,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet In,4.50,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Initial Storage,7283,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Inital Storage,15.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(T) Temp Ctrl Pallet,7293,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Temp Ctrl Pallet,17.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Admin Fee,7281,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Admin Fee,17.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
